group,variable,description,units,dimension,records,lead_min,lead_max,accumulation_hours,file
12h,expected_precip,"ANN12-v4 expected precipitation, 12-hour accumulation",mm per 12h,record,31,12,192,12,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/12h/2026061200_ANN12v4_12h_expected_precip.grib2
12h,prob_gt_0p5inch_percent,"ANN12-v4 probability of exceeding 0.5 inch, 12-hour accumulation",percent,record,31,12,192,12,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/12h/2026061200_ANN12v4_12h_prob_gt_0p5inch_percent.grib2
12h,prob_gt_1inch_percent,"ANN12-v4 probability of exceeding 1 inch, 12-hour accumulation",percent,record,31,12,192,12,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/12h/2026061200_ANN12v4_12h_prob_gt_1inch_percent.grib2
12h,prob_gt_2inch_percent,"ANN12-v4 probability of exceeding 2 inches, 12-hour accumulation",percent,record,31,12,192,12,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/12h/2026061200_ANN12v4_12h_prob_gt_2inch_percent.grib2
12h,prob_gt_2yr12h_ari_percent,ANN12-v4 probability of exceeding 2-year 12-hour ARI,percent,record,31,12,192,12,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/12h/2026061200_ANN12v4_12h_prob_gt_2yr12h_ari_percent.grib2
12h,prob_gt_5yr12h_ari_percent,ANN12-v4 probability of exceeding 5-year 12-hour ARI,percent,record,31,12,192,12,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/12h/2026061200_ANN12v4_12h_prob_gt_5yr12h_ari_percent.grib2
24h,expected_precip_24h,"ANN12-v4 expected precipitation, 24-hour accumulation",mm per 24h,window,29,24,192,24,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/24h/2026061200_ANN12v4_24h_expected_precip_24h.grib2
24h,prob_gt_0p5inch_24h,"ANN12-v4 probability of exceeding 0.5 inch, 24-hour accumulation",percent,window,29,24,192,24,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/24h/2026061200_ANN12v4_24h_prob_gt_0p5inch_24h.grib2
24h,prob_gt_1inch_24h,"ANN12-v4 probability of exceeding 1 inch, 24-hour accumulation",percent,window,29,24,192,24,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/24h/2026061200_ANN12v4_24h_prob_gt_1inch_24h.grib2
24h,prob_gt_2inch_24h,"ANN12-v4 probability of exceeding 2 inches, 24-hour accumulation",percent,window,29,24,192,24,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/24h/2026061200_ANN12v4_24h_prob_gt_2inch_24h.grib2
24h,prob_gt_2yr24h_ari_24h,ANN12-v4 probability of exceeding 2-year 24-hour ARI,percent,window,29,24,192,24,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/24h/2026061200_ANN12v4_24h_prob_gt_2yr24h_ari_24h.grib2
24h,prob_gt_5yr24h_ari_24h,ANN12-v4 probability of exceeding 5-year 24-hour ARI,percent,window,29,24,192,24,/data/Nasrin/Ann_csgd_project/auto_website_lead8/runs/2026061200/ann12_v4_products/grib2_ann12_v4/24h/2026061200_ANN12v4_24h_prob_gt_5yr24h_ari_24h.grib2
